station,lat,lon,n,date_min,date_max
21FLSABR_WQX-BAY-EA-STBAY-3,30.108332989,-85.558333,341,2010-01-17,2025-08-17
21FLSABR_WQX-BAY-ST-EWBAY-3,30.139999989,-85.658333,341,2010-01-15,2025-08-22
21FLSABR_WQX-BAY-EA-STBAY-4,30.098332989,-85.61,341,2010-01-17,2025-08-17
21FLSABR_WQX-BAY-EA-STBAY-2,30.084999989,-85.526667,340,2010-01-17,2025-08-17
21FLSABR_WQX-BAY-ST-EWBAY-1,30.174999989,-85.736667,340,2010-01-15,2025-08-22
21FLSABR_WQX-BAY-MASSALINA-BAYOU-1,30.151666989,-85.658333,340,2010-01-17,2025-08-22
21FLSABR_WQX-BAY-PARKER-BAYOU-1,30.125499989,-85.600833,339,2010-01-17,2025-08-17
21FLSJWM_WQX-44966,28.731917333,-80.717235472,338,2016-08-11,2025-04-10
21FLSABR_WQX-BAY-ST-EWBAY-6,30.093332989,-85.655,338,2010-01-15,2025-08-22
21FLSABR_WQX-BAY-EA-STBAY-1,30.038332989,-85.486667,338,2010-01-17,2025-08-17
21FLSABR_WQX-BAY-PITTS-BAYOU-1,30.121332989,-85.596667,335,2010-01-17,2025-08-17
21FLMRC_WQX-CL-0045-01,28.015001987,-80.538701,332,2018-07-04,2025-06-24
21FLSABR_WQX-BAY-POWELLSO-2,30.261832989,-85.950083,327,2010-01-17,2025-08-14
21FLSJWM_WQX-44897,28.366955001,-80.633019,323,2016-10-17,2025-04-10
21FLMRC_WQX-ML-0206-01,28.736737988,-80.753882,322,2017-06-22,2025-06-28
21FLSJWM_WQX-SJSR16,29.9772222,-81.61,320,2010-02-15,2016-04-12
21FLSJWM_WQX-IRLEGU,28.1236111,-80.6305556,317,2010-01-05,2016-04-04
21FLSABR_WQX-BAY-ST-EWBAY-7,30.119999989,-85.73,314,2010-01-15,2025-08-22
21FLSABR_WQX-BAY-WE-STBAY-1,30.244999989,-85.833333,313,2010-01-18,2025-08-15
21FLSJWM_WQX-44916,28.393066001,-80.735861,309,2016-10-18,2025-04-10
21FLSJWM_WQX-ORD,29.2146596,-81.9863354,307,2010-01-11,2016-04-26
21FLMRC_WQX-BR-0300-02,28.193425987,-80.609301,304,2018-11-02,2025-06-27
21FLSJWM_WQX-CRESLM,29.5295556,-81.5537222,304,2011-04-07,2016-04-20
21FLSJWM_WQX-44924,28.125272001,-80.616468,303,2016-10-18,2025-03-19
21FLMRC_WQX-ML-0191-01,28.756309988,-80.765967,296,2018-04-20,2025-06-28
21FLCOLL_WQX-LKTRAF1,26.431800001,-81.48719,293,2010-01-28,2024-12-09
21FLGW_WQX-3501,27.22532,-80.96256,292,2010-01-11,2025-03-10
21FLGW_WQX-3500,27.11245,-80.28455,291,2010-01-13,2025-03-10
21FLGW_WQX-3517,29.37305,-81.90166,291,2010-01-07,2025-03-06
21FLGW_WQX-3559,26.33007,-80.21226,291,2010-01-13,2025-03-11
21FLGW_WQX-3572,25.81065,-80.26421,291,2010-01-14,2025-03-03
21FLGW_WQX-3504,27.46897,-80.33826,290,2010-01-13,2025-03-10
21FLGW_WQX-3571,25.54538,-80.34588,290,2010-01-14,2025-03-04
21FLGW_WQX-3515,29.18308,-81.5227,288,2010-01-07,2025-03-06
21FLGW_WQX-3553,29.98035253,-81.62093592,288,2010-01-04,2025-01-08
21FLGW_WQX-3526,30.147834,-83.968976,288,2010-01-07,2025-03-18
21FLGW_WQX-3558,26.3223,-80.7745,287,2010-01-14,2025-03-11
21FLGW_WQX-3564,29.221561994,-82.75805802,286,2010-01-06,2025-03-11
21FLGW_WQX-3495,26.16814,-81.76675,286,2010-01-12,2025-02-04
21FLGW_WQX-3494,25.95259,-81.3559,285,2010-01-12,2025-02-04
21FLGW_WQX-3519,29.59262,-82.93849,284,2010-01-06,2025-03-11
21FLGW_WQX-3568,26.7212,-81.693248,282,2010-01-11,2025-02-04
21FLGW_WQX-3544,30.73777,-81.68722,281,2010-01-04,2025-03-06
21FLGW_WQX-3530,30.384712,-83.173384,280,2010-01-05,2025-03-12
21FLGW_WQX-3522,29.957818,-82.931964,279,2010-02-03,2025-03-17
21FLMRC_WQX-NL-0430-01,28.300960987,-80.699859,276,2015-01-11,2025-06-28
21FLMRC_WQX-SL-1418-01,27.113561987,-80.254295,270,2015-01-05,2021-06-28
21FLMRC_WQX-BR-0152-01,28.384636115,-80.609375353,269,2015-01-03,2022-07-09
21FLMRC_WQX-NL-0531-01,28.093932987,-80.582483,265,2018-01-16,2025-05-29
21FLGW_WQX-3497,26.932762,-81.315236,259,2010-01-01,2025-02-04
21FLGW_WQX-37739,25.28739,-80.44186,259,2010-02-11,2025-03-04
21FLSABR_WQX-BAY-BURNT M-1U,30.328549989,-85.763,258,2010-02-20,2025-08-14
21FLSJWM_WQX-DTL,30.1380556,-81.7272222,256,2010-02-15,2016-04-25
21FLSABR_WQX-BAY-CROOKED U-1,30.313699989,-85.811233,255,2010-01-18,2025-08-14
21FLTBW_WQX-NAB,27.7886667,-82.4153667,253,2010-02-16,2016-06-23
21FLLCPC_WQX-GRIFFINTISH,28.860388962,-81.838457501,251,2010-01-25,2025-08-26
21FLGW_WQX-3556,27.221157,-81.876367,251,2010-01-04,2025-02-06
21FLMRC_WQX-NL-0170-01,28.615730988,-80.802278,251,2016-11-22,2021-12-15
21FLTBW_WQX-INTM,27.7978,-82.4118833,250,2010-02-16,2016-06-23
21FLGW_WQX-3507,28.054594,-82.363986,250,2010-01-06,2025-01-07
21FLGW_WQX-3506,27.803913,-81.198119,249,2010-01-05,2021-07-19
21FLGW_WQX-6976,30.170887,-83.823696,246,2010-01-07,2025-03-11
21FLCOLL_WQX-BC14,26.272691983,-81.778374329,243,2010-01-21,2025-01-21
21FLCOLL_WQX-BC15,26.270851211,-81.769537023,243,2010-01-06,2025-01-21
21FLSJWM_WQX-MBU,29.0788639,-81.8814278,238,2010-01-19,2016-03-23
21FLSABR_WQX-BAY-BURNT M-1L,30.301332989,-85.76,238,2010-01-18,2025-08-14
21FLCOLL_WQX-COC@LAKE,26.272951159,-81.759647851,237,2010-01-06,2025-01-21
