station,lat,lon,n,date_min,date_max
21FLSFWM_WQX-5147,26.917072222,-80.613077778,180,2016-06-20,2024-09-16
21FLSJWM_WQX-44916,28.393066001,-80.735861,180,2016-10-18,2024-01-17
21FLDADE_WQX-MR03,25.778711,-80.2072338,178,2010-01-05,2024-07-09
21FLDADE_WQX-AC01,25.900324517,-80.143940329,178,2010-01-04,2024-07-08
21FLSJWM_WQX-44924,28.125272001,-80.616468,178,2016-10-18,2023-12-11
21FLSFWM_WQX-24334,27.298317778,-80.828735,177,2016-06-28,2024-09-24
21FLCOLL_WQX-GGCAT31,26.168029365,-81.76723388,176,2010-01-13,2024-04-09
21FLSFWM_WQX-17194,27.030052778,-81.001450833,175,2016-07-06,2024-09-16
21FLMOSA_WQX-024010,27.699744979,-82.215062353,175,2012-07-12,2020-12-14
21FLSJWM_WQX-45678,30.066667,-81.686944,174,2015-06-08,2023-10-24
21FLDADE_WQX-WC03,25.787493921,-80.214672791,174,2010-01-05,2024-07-09
21FLDADE_WQX-WC02,25.783772197,-80.209833556,174,2010-01-05,2024-07-09
21FLCOLL_WQX-IMKBRN,26.409071004,-81.397870688,174,2010-01-14,2024-04-16
21FLSFWM_WQX-18935,27.319561111,-80.341080556,173,2016-07-12,2024-09-25
21FLSFWM_WQX-17184,27.122577778,-80.895983333,173,2016-07-06,2024-09-16
21FLMOSA_WQX-025001,27.690856991,-82.198297231,173,2012-06-19,2023-12-19
21FLDADE_WQX-WC04,25.794635433,-80.221675106,173,2010-01-05,2024-07-09
21FLCOLL_WQX-PARENT_SAMPLE,26.130368001,-81.761785,172,2018-02-07,2021-10-14
21FLSFWM_WQX-18958,27.17271,-80.2129375,172,2016-07-11,2024-09-24
21FLDADE_WQX-GL02,25.537394368,-80.333009842,171,2010-01-06,2024-07-10
21FLCOLL_WQX-CORK@846,26.277656001,-81.601238,171,2010-01-06,2024-04-04
21FLMOSA_WQX-HCSW-1,27.487659988,-82.02346,171,2018-01-17,2023-12-05
21FLSJWM_WQX-71894,28.847980001,-81.35328,170,2016-09-21,2023-09-26
21FLDADE_WQX-BB05A,25.9017218,-80.1422694,169,2010-04-05,2024-07-08
FLPRMRWS_WQX-PR14,27.0558224,-81.9910861,168,2017-01-17,2023-12-19
FLPRMRWS_WQX-PR12,26.9869027,-81.992398,168,2017-01-17,2023-12-19
21FLCOLL_WQX-BARRIVN,25.910338843,-81.363136892,168,2010-01-25,2024-04-08
FLPRMRWS_WQX-PR9,26.8994623,-82.120805,168,2017-01-17,2023-12-19
FLPRMRWS_WQX-PR10,26.943926,-82.060335,168,2017-01-17,2023-12-19
21FLNOPO_WQX-6,27.033247187,-82.2515901,167,2010-01-13,2023-12-07
21FLNOPO_WQX-7,27.026885887,-82.2629766,167,2010-01-13,2023-12-07
21FLNOPO_WQX-4,27.043754487,-82.2422853,167,2010-01-13,2023-12-07
21FLNOPO_WQX-1,27.059352987,-82.2324875,166,2010-01-13,2023-12-07
21FLNOPO_WQX-2,27.040051287,-82.2190569,166,2010-01-13,2023-12-07
21FLSFWM_WQX-18951,27.193125,-80.250705556,165,2016-07-12,2024-09-24
21FLDADE_WQX-AC03,25.901557543,-80.162823608,165,2010-01-04,2024-07-08
21FLCRCP_WQX-BOC072,26.331250001,-80.069389,164,2017-09-26,2024-06-09
21FLCRCP_WQX-BOC073,26.335760001,-80.06438,164,2017-09-26,2024-06-09
21FLCRCP_WQX-BOC074,26.325650001,-80.0722167,164,2017-09-26,2024-06-09
21FLCRCP_WQX-BOC075,26.298600001,-80.074683,164,2017-09-26,2024-06-09
21FLCRCP_WQX-BOC076,26.336916701,-80.0646833,164,2017-09-26,2024-06-09
21FLCRCP_WQX-BOC077,26.309433001,-80.07405,164,2017-09-26,2024-06-09
21FLCRCP_WQX-BOC078,26.307717001,-80.07425,164,2017-09-26,2024-06-09
21FLCRCP_WQX-BOC079,26.312066701,-80.0738333,164,2017-09-26,2024-06-09
21FLCRCP_WQX-HIL058,26.196120001,-80.091,164,2017-09-27,2024-06-07
21FLCOLL_WQX-LELY,26.104678711,-81.74598763,164,2010-01-13,2024-04-02
21FLCRCP_WQX-BOC070,26.335761001,-80.069389,164,2017-09-26,2024-06-09
21FLCRCP_WQX-HIL050,26.256592001,-80.080197,164,2017-09-27,2024-06-07
21FLCRCP_WQX-HIL051,26.261110001,-80.080197,164,2017-09-27,2024-06-07
21FLCRCP_WQX-HIL052,26.252080001,-80.080197,164,2017-09-27,2024-06-07
21FLCRCP_WQX-HIL053,26.256590001,-80.07519,164,2017-09-27,2024-06-07
21FLCRCP_WQX-BOC071,26.340270001,-80.069389,164,2017-09-26,2024-06-09
21FLCRCP_WQX-HIL059,26.256166701,-80.0769167,164,2017-09-27,2024-06-07
21FLMOSA_WQX-024004,27.661581798,-82.204426078,164,2012-02-15,2023-12-19
21FLCRCP_WQX-HIL054,26.289150001,-80.0751167,164,2017-09-27,2024-06-07
21FLCRCP_WQX-HIL055,26.216930001,-80.0862,164,2017-09-27,2024-06-07
21FLCRCP_WQX-HIL056,26.228683301,-80.0838167,164,2017-09-27,2024-06-07
21FLCRCP_WQX-HIL057,26.247866701,-80.0782167,164,2017-09-27,2024-06-07
21FLCOLL_WQX-GGC@858,26.293517807,-81.561851387,163,2010-01-06,2024-04-01
21FLCOLL_WQX-BC14,26.272691983,-81.778374329,163,2010-01-21,2024-04-09
21FLCRCP_WQX-BOY090,26.544170001,-80.04057,162,2017-09-28,2024-06-05
21FLCRCP_WQX-BOY091,26.545020001,-80.0356,162,2017-09-28,2024-06-05
21FLCRCP_WQX-BOY092,26.549540001,-80.040578,162,2017-09-28,2024-06-05
21FLCRCP_WQX-BOY093,26.540510001,-80.040578,162,2017-09-28,2024-06-05
21FLCRCP_WQX-BOY094,26.564620001,-80.02833333,162,2017-09-28,2024-06-05
21FLCRCP_WQX-JUP123,26.943800001,-80.06407,162,2017-09-20,2024-06-04
21FLCRCP_WQX-PEV048,25.972400001,-80.1098,162,2017-09-26,2024-06-10
21FLCRCP_WQX-JUP121,26.948310001,-80.069106,162,2017-09-20,2024-06-04
21FLCRCP_WQX-ILW117,26.698700001,-80.016517,162,2017-09-21,2024-06-05
21FLCRCP_WQX-BOY096,26.588620001,-80.02466667,162,2017-09-28,2024-06-05
21FLCRCP_WQX-BOY097,26.508470001,-80.03366667,162,2017-09-28,2024-06-05
21FLCRCP_WQX-PEV046,26.020600001,-80.1119,162,2017-09-26,2024-06-10
21FLCRCP_WQX-ILW113,26.772450001,-80.02535,162,2017-09-21,2024-06-05
21FLCRCP_WQX-BOY098,26.422417001,-80.05043333,162,2017-09-28,2024-06-05
21FLCRCP_WQX-JUP124,26.994850001,-80.06685,162,2017-09-20,2024-06-04
21FLCRCP_WQX-BOY100,26.608670001,-80.02316667,162,2017-09-28,2024-06-05
21FLCRCP_WQX-BOY101,26.551599988,-80.030833,162,2017-09-28,2024-06-05
21FLCRCP_WQX-BAK021,25.904510001,-80.119714,162,2017-09-25,2024-06-10
21FLCRCP_WQX-JUP125,27.001916988,-80.06595,162,2017-09-20,2024-06-04
21FLCRCP_WQX-JUP126,27.011583301,-80.0678,162,2017-09-20,2024-06-04
21FLCRCP_WQX-PEV044,26.159983001,-80.090283,162,2017-09-27,2024-06-10
21FLCRCP_WQX-JUP127,27.017750001,-80.07291667,162,2017-09-20,2024-06-04
21FLCRCP_WQX-JUP128,27.023566988,-80.06655,162,2017-09-20,2024-06-04
21FLCRCP_WQX-PEV042,26.088490001,-80.097333,162,2017-09-27,2024-06-10
21FLCRCP_WQX-PEV047,26.148400001,-80.0952,162,2017-09-27,2024-06-10
21FLCRCP_WQX-JUP129,27.015966988,-80.06595,162,2017-09-20,2024-06-04
21FLCRCP_WQX-ILW118,26.696830001,-80.03033,162,2017-09-21,2024-06-05
21FLCRCP_WQX-PEV040,26.093006001,-80.097333,162,2017-09-27,2024-06-10
21FLCRCP_WQX-PEV041,26.097520001,-80.097333,162,2017-09-27,2024-06-10
21FLCRCP_WQX-PEV043,26.093010001,-80.09234,162,2017-09-27,2024-06-10
21FLCRCP_WQX-BAK022,25.895490001,-80.119714,162,2017-09-25,2024-06-10
21FLCRCP_WQX-PEV049,25.954230001,-80.10117,162,2017-09-26,2024-06-10
21FLCRCP_WQX-BAK023,25.900000001,-80.11472,162,2017-09-25,2024-06-10
21FLCRCP_WQX-ILW119,26.699466701,-80.0301333,162,2017-09-21,2024-06-05
21FLCRCP_WQX-JUP120,26.943797001,-80.069106,162,2017-09-20,2024-06-04
