station,date,value
21FLAMEC_WQX-CURLEW,2014-02-06,4006.0
21FLAMEC_WQX-CURLEW,2014-03-24,5259.0
21FLAMEC_WQX-GORDEXT,2013-07-29,214.0
21FLAMEC_WQX-GORDEXT,2013-08-28,249.0
21FLAMEC_WQX-GORDEXT,2013-09-26,253.0
21FLAMEC_WQX-GORDEXT,2013-09-26,255.0
21FLAMEC_WQX-GORDEXT,2013-10-28,1207.0
21FLAMEC_WQX-GORDEXT,2013-11-12,4885.0
21FLAMEC_WQX-GORDEXT,2013-12-09,4724.0
21FLAMEC_WQX-GORDEXT,2014-01-08,4347.0
21FLAMEC_WQX-GORDEXT,2014-02-06,1824.0
21FLAMEC_WQX-GORDEXT,2014-02-06,1915.0
21FLAMEC_WQX-GORDEXT,2014-03-24,4834.0
21FLAMEC_WQX-GPASS6,2013-07-29,4199.0
21FLAMEC_WQX-GPASS6,2013-08-28,2837.0
21FLAMEC_WQX-GPASS6,2013-09-26,2435.0
21FLAMEC_WQX-GPASS6,2013-10-28,5467.0
21FLAMEC_WQX-GPASS6,2013-11-12,6875.0
21FLAMEC_WQX-GPASS6,2013-12-09,6737.0
21FLAMEC_WQX-GPASS6,2014-01-08,6124.0
21FLAMEC_WQX-GPASS6,2014-02-06,6206.0
21FLAMEC_WQX-GPASS6,2014-03-24,6480.0
21FLAMEC_WQX-HALDCR,2013-07-29,2282.0
21FLAMEC_WQX-HALDCR,2013-07-29,2047.0
21FLAMEC_WQX-HALDCR,2013-08-28,1536.0
21FLAMEC_WQX-HALDCR,2013-08-28,1466.0
21FLAMEC_WQX-HALDCR,2013-09-26,1509.0
21FLAMEC_WQX-HALDCR,2013-10-28,4706.0
21FLAMEC_WQX-HALDCR,2013-11-12,6698.0
21FLAMEC_WQX-HALDCR,2013-11-12,6260.0
21FLAMEC_WQX-HALDCR,2013-12-09,5995.0
21FLAMEC_WQX-HALDCR,2014-01-08,5575.0
21FLAMEC_WQX-HALDCR,2014-02-06,4225.0
21FLAMEC_WQX-HALDCR,2014-03-24,5844.0
21FLAMEC_WQX-NBAYNL,2013-07-29,1946.0
21FLAMEC_WQX-NBAYNL,2013-08-28,904.0
21FLAMEC_WQX-NBAYNL,2013-09-26,1196.0
21FLAMEC_WQX-NBAYNL,2013-10-28,3944.0
21FLAMEC_WQX-NBAYNL,2013-11-12,6172.0
21FLAMEC_WQX-NBAYNL,2013-12-09,6531.0
21FLAMEC_WQX-NBAYNL,2014-01-08,5811.0
21FLAMEC_WQX-NBAYNL,2014-02-06,4695.0
21FLAMEC_WQX-NBAYNL,2014-03-24,5841.0
21FLAMEC_WQX-NBAYWS,2013-07-29,2336.0
21FLAMEC_WQX-NBAYWS,2013-08-28,1206.0
21FLAMEC_WQX-NBAYWS,2013-09-26,1315.0
21FLAMEC_WQX-NBAYWS,2013-10-28,4123.0
21FLAMEC_WQX-NBAYWS,2013-11-12,6544.0
21FLAMEC_WQX-NBAYWS,2013-12-09,6654.0
21FLAMEC_WQX-NBAYWS,2014-01-08,6425.0
21FLAMEC_WQX-NBAYWS,2014-02-06,4982.0
21FLAMEC_WQX-NBAYWS,2014-03-24,5961.0
21FLAMEC_WQX-OYSBAY,2013-07-29,1839.0
21FLAMEC_WQX-OYSBAY,2013-08-28,1036.0
21FLAMEC_WQX-OYSBAY,2013-09-26,642.0
21FLAMEC_WQX-OYSBAY,2013-10-28,4605.0
21FLAMEC_WQX-OYSBAY,2013-11-12,6314.0
21FLAMEC_WQX-OYSBAY,2013-12-09,6528.0
21FLAMEC_WQX-OYSBAY,2013-12-09,6475.0
21FLAMEC_WQX-OYSBAY,2014-01-08,5910.0
21FLAMEC_WQX-OYSBAY,2014-02-06,5043.0
21FLAMEC_WQX-OYSBAY,2014-03-24,5529.0
21FLAMEC_WQX-OYSBAY,2014-03-24,5687.0
21FLAMEC_WQX-ROCKCR,2013-07-29,558.0
21FLAMEC_WQX-ROCKCR,2013-08-28,327.0
21FLAMEC_WQX-ROCKCR,2013-09-26,282.0
21FLAMEC_WQX-ROCKCR,2013-10-28,2569.0
21FLAMEC_WQX-ROCKCR,2013-10-28,2535.0
21FLAMEC_WQX-ROCKCR,2013-11-12,6054.0
21FLAMEC_WQX-ROCKCR,2013-12-09,5349.0
21FLAMEC_WQX-ROCKCR,2014-01-08,5117.0
21FLAMEC_WQX-ROCKCR,2014-02-06,3511.0
21FLAMEC_WQX-ROCKCR,2014-03-24,5596.0
21FLCOBS_WQX-CBS 11,2010-01-19,284.0
21FLCOBS_WQX-CBS 11,2010-02-16,279.0
21FLCOBS_WQX-CBS 11,2010-03-15,164.0
21FLCOBS_WQX-CBS 11,2010-04-14,231.0
21FLCOBS_WQX-CBS 11,2010-05-12,244.0
21FLCOBS_WQX-CBS 11,2010-06-15,305.0
21FLCOBS_WQX-CBS 11,2010-07-14,212.0
21FLCOBS_WQX-CBS 11,2010-08-18,108.0
21FLCOBS_WQX-CBS 11,2010-09-15,123.0
21FLCOBS_WQX-CBS 11,2010-10-14,135.0
21FLCOBS_WQX-CBS 11,2010-11-23,273.0
21FLCOBS_WQX-CBS 11,2010-12-29,263.0
21FLCOBS_WQX-CBS 11,2011-01-27,241.0
21FLCOBS_WQX-CBS 11,2011-02-28,296.0
21FLCOBS_WQX-CBS 11,2011-03-28,298.0
21FLCOBS_WQX-CBS 11,2011-06-23,546.0
21FLCOBS_WQX-CBS 11,2011-07-20,266.0
21FLCOBS_WQX-CBS 11,2011-08-24,175.0
21FLCOBS_WQX-CBS 11,2011-09-29,73.1
21FLCOBS_WQX-CBS 11,2011-10-26,93.2
21FLCOBS_WQX-CBS 11,2011-11-22,170.0
21FLCOBS_WQX-CBS 11,2011-12-21,241.0
21FLCOBS_WQX-CBS 11,2012-01-24,263.0
21FLCOBS_WQX-CBS 11,2012-02-27,272.0
21FLCOBS_WQX-CBS 11,2012-04-25,332.0
21FLCOBS_WQX-CBS 11,2012-07-19,338.0
21FLCOBS_WQX-CBS 11,2012-08-22,232.0
21FLCOBS_WQX-CBS 11,2012-09-19,201.0
21FLCOBS_WQX-CBS 11,2012-10-24,178.0
21FLCOBS_WQX-CBS 11,2012-11-20,246.0
21FLCOBS_WQX-CBS 11,2012-12-19,258.0
21FLCOBS_WQX-CBS 11,2013-01-24,345.0
21FLCOBS_WQX-CBS 11,2013-04-25,323.0
21FLCOBS_WQX-CBS 11,2013-05-21,465.0
21FLCOBS_WQX-CBS 11,2013-06-13,279.0
21FLCOBS_WQX-CBS 11,2013-07-23,81.2
21FLCOBS_WQX-CBS 11,2013-08-27,88.9
21FLCOBS_WQX-CBS 11,2013-09-26,94.7
21FLCOBS_WQX-CBS 11,2013-10-29,197.0
21FLCOBS_WQX-CBS 11,2013-11-26,241.0
21FLCOBS_WQX-CBS 11,2014-01-21,252.0
21FLCOBS_WQX-CBS 11,2014-02-25,260.0
21FLCOBS_WQX-CBS 11,2014-03-25,262.0
21FLCOBS_WQX-CBS 11,2014-05-29,383.0
21FLCOBS_WQX-CBS 11,2014-07-30,253.0
21FLCOBS_WQX-CBS 11,2014-08-27,97.1
21FLCOBS_WQX-CBS 11,2014-09-22,97.0
21FLCOBS_WQX-CBS 11,2014-10-22,132.0
21FLCOBS_WQX-CBS 11,2014-12-17,260.0
21FLCOBS_WQX-CBS 11,2015-01-15,249.0
21FLCOBS_WQX-CBS 11,2015-02-12,265.0
21FLCOBS_WQX-CBS 11,2015-03-24,257.0
21FLCOBS_WQX-CBS 11,2015-04-21,362.0
21FLCOBS_WQX-CBS 11,2015-05-28,282.0
21FLCOBS_WQX-CBS 11,2015-06-25,252.0
21FLCOBS_WQX-CBS 11,2015-07-21,241.0
21FLCOBS_WQX-CBS 11,2015-08-25,84.5
21FLCOBS_WQX-CBS 11,2015-09-10,97.0
21FLCOBS_WQX-CBS 11,2015-11-30,201.0
21FLCOBS_WQX-CBS 11,2015-12-10,196.0
21FLCOBS_WQX-CBS 11,2016-01-14,233.0
21FLCOBS_WQX-CBS 11,2016-03-17,204.0
21FLCOBS_WQX-CBS 11,2016-04-14,254.0
21FLCOBS_WQX-CBS 11,2016-05-17,276.0
21FLCOBS_WQX-CBS 11,2016-06-14,78.8
21FLCOBS_WQX-CBS 11,2016-07-21,132.0
21FLCOBS_WQX-CBS 11,2016-08-18,100.0
21FLCOBS_WQX-CBS 11,2016-09-22,118.0
21FLCOBS_WQX-CBS 11,2016-10-20,158.0
21FLCOBS_WQX-CBS 11,2016-11-17,229.0
21FLCOBS_WQX-CBS 11,2016-12-19,264.0
21FLCOBS_WQX-CBS 13,2010-10-14,170.0
21FLCOBS_WQX-CBS 13,2011-01-27,383.0
21FLCOBS_WQX-CBS 13,2011-07-20,552.0
21FLCOBS_WQX-CBS 13,2011-08-24,285.0
21FLCOBS_WQX-CBS 13,2011-09-29,316.0
21FLCOBS_WQX-CBS 13,2011-10-26,228.0
21FLCOBS_WQX-CBS 13,2011-11-22,220.0
